S-26B Google 1  0.3843 S:37, I:0, D:66 
S-26B Kaldi 1  0.2836 S:46, I:11, D:19 
S-26B Google 2  0.4231 S:70, I:5, D:46 
S-26B Kaldi 2  0.2622 S:48, I:13, D:14 
S-26B Google 3  0.4966 S:35, I:1, D:38 
S-26B Kaldi 3  0.4027 S:36, I:8, D:16 
S-26B Google 4  0.4000 S:59, I:6, D:57 
S-26B Kaldi 4  0.2197 S:39, I:3, D:25 
S-26B Google 5  0.5284 S:124, I:2, D:97 
S-26B Kaldi 5  0.4052 S:100, I:8, D:63 
S-26B Google 6  0.3316 S:17, I:2, D:43 
S-26B Kaldi 6  0.2567 S:33, I:2, D:13 
S-26B Google 7  0.2885 S:15, I:0, D:15 
S-26B Kaldi 7  0.3077 S:24, I:4, D:4 
S-26B Google 8  0.3689 S:20, I:6, D:19 
S-26B Kaldi 8  0.2541 S:13, I:6, D:12 
S-26B Google 9  0.3929 S:8, I:0, D:3 
S-26B Kaldi 9  0.3929 S:8, I:1, D:2 
S-26B Google 10  0.5631 S:35, I:1, D:22 
S-26B Kaldi 10  0.3981 S:28, I:2, D:11 
S-26B Google 11  0.6667 S:0, I:0, D:6 
S-26B Kaldi 11  0.4444 S:2, I:0, D:2 

S-30B Google 0  0.4398 S:37, I:2, D:67 
S-30B Kaldi 0  0.3320 S:50, I:6, D:24 
S-30B Google 1  0.4286 S:13, I:1, D:58 
S-30B Kaldi 1  0.3274 S:41, I:6, D:8 
S-30B Google 2  0.2747 S:23, I:1, D:65 
S-30B Kaldi 2  0.2037 S:39, I:5, D:22 
S-30B Google 3  0.2825 S:25, I:0, D:51 
S-30B Kaldi 3  0.2193 S:40, I:2, D:17 
S-30B Google 4  0.3378 S:50, I:1, D:127 
S-30B Kaldi 4  0.2808 S:74, I:6, D:68 
S-30B Google 5  0.3087 S:51, I:4, D:112 
S-30B Kaldi 5  0.2237 S:75, I:6, D:40 
S-30B Google 6  0.2969 S:1, I:0, D:18 
S-30B Kaldi 6  0.2969 S:10, I:0, D:9 
S-30B Google 7  0.3293 S:10, I:0, D:17 
S-30B Kaldi 7  0.2561 S:14, I:4, D:3 
S-30B Google 8  0.4167 S:1, I:0, D:14 
S-30B Kaldi 8  0.3333 S:8, I:1, D:3 
S-30B Google 9  0.5273 S:10, I:0, D:19 
S-30B Kaldi 9  0.1636 S:7, I:0, D:2 
S-30B Google 10  0.6757 S:5, I:0, D:20 
S-30B Kaldi 10  0.4054 S:11, I:0, D:4 
S-30B Google 11  0.4032 S:4, I:1, D:20 
S-30B Kaldi 11  0.3065 S:9, I:3, D:7 


S-2B Google 0  0.5826 S:14, I:0, D:53 
S-2B Kaldi 0  0.4174 S:33, I:1, D:14 
S-2B Google 1  0.6803 S:28, I:0, D:72 
S-2B Kaldi 1  0.5646 S:42, I:3, D:38 
S-2B Google 2  0.5736 S:135, I:7, D:158 
S-2B Kaldi 2  0.4130 S:118, I:17, D:81 
S-2B Google 3  0.4917 S:39, I:0, D:50 
S-2B Kaldi 3  0.3425 S:37, I:1, D:24 
S-2B Google 4  0.5000 S:83, I:2, D:111 
S-2B Kaldi 4  0.3980 S:98, I:4, D:54 
S-2B Google 5  0.5447 S:97, I:4, D:179 
S-2B Kaldi 5  0.3288 S:85, I:3, D:81 

S-17A Google 0  0.3380 S:74, I:6, D:89 
S-17A Kaldi 0  0.2020 S:68, I:10, D:23 
S-17A Google 1  0.2714 S:77, I:9, D:79 
S-17A Kaldi 1  0.1562 S:58, I:10, D:27 
S-17A Google 2  0.2192 S:27, I:5, D:41 
S-17A Kaldi 2  0.0961 S:22, I:3, D:7 
S-17A Google 3  0.2967 S:105, I:4, D:77 
S-17A Kaldi 3  0.1643 S:62, I:15, D:26 
S-17A Google 4  0.2876 S:97, I:6, D:90 
S-17A Kaldi 4  0.1401 S:60, I:6, D:28 
S-17A Google 5  0.3043 S:43, I:0, D:62 
S-17A Kaldi 5  0.1449 S:29, I:3, D:18 
S-17A Google 6  0.3457 S:58, I:6, D:29 
S-17A Kaldi 6  0.1710 S:32, I:9, D:5 
S-17A Google 7  0.3722 S:108, I:11, D:82 
S-17A Kaldi 7  0.2000 S:58, I:12, D:38 
S-17A Google 8  0.2954 S:31, I:4, D:35 
S-17A Kaldi 8  0.1181 S:19, I:2, D:7 
S-17A Google 9  0.2611 S:50, I:3, D:53 
S-17A Kaldi 9  0.1502 S:38, I:3, D:20 
S-17A Google 10  0.1849 S:52, I:8, D:48 
S-17A Kaldi 10  0.1164 S:36, I:9, D:23 
S-17A Google 11  0.2159 S:12, I:0, D:7 
S-17A Kaldi 11  0.1477 S:9, I:1, D:3 


S-15C Google 0  0.3569 S:38, I:5, D:48 
S-15C Kaldi 0  0.2157 S:41, I:7, D:7 
S-15C Google 1  0.2888 S:34, I:3, D:43 
S-15C Kaldi 1  0.2094 S:35, I:7, D:16 
S-15C Google 2  0.3348 S:33, I:4, D:39 
S-15C Kaldi 2  0.2423 S:31, I:7, D:17 
S-15C Google 3  0.2863 S:28, I:1, D:42 
S-15C Kaldi 3  0.2056 S:35, I:2, D:14 
S-15C Google 4  0.1979 S:37, I:3, D:55 
S-15C Kaldi 4  0.1417 S:39, I:13, D:16 
S-15C Google 5  0.3721 S:61, I:4, D:79 
S-15C Kaldi 5  0.2145 S:48, I:2, D:33 
S-15C Google 6  0.4333 S:6, I:1, D:6 
S-15C Kaldi 6  0.5667 S:12, I:2, D:3 
S-15C Google 7  0.5738 S:30, I:10, D:30 
S-15C Kaldi 7  0.4016 S:18, I:21, D:10 
S-15C Google 8  0.1994 S:33, I:3, D:29 
S-15C Kaldi 8  0.1933 S:28, I:19, D:16 


S-24D Google 0  0.5058 S:60, I:0, D:70 
S-24D Kaldi 0  0.3035 S:52, I:4, D:22 
S-24D Google 1  0.4209 S:45, I:4, D:68 
S-24D Kaldi 1  0.2374 S:31, I:6, D:29 
S-24D Google 2  0.4500 S:97, I:9, D:74 
S-24D Kaldi 2  0.2700 S:54, I:13, D:41 
S-24D Google 3  0.3683 S:96, I:2, D:88 
S-24D Kaldi 3  0.2614 S:81, I:13, D:38 
